Key,File,Type,UsedInMainMenu,NoTranslate,schinese



dialog_trader_response_jobshave,Quest,Dialogs,,,你有任务吗？
dialog_trader_response_jobshave_statement_1,Quest,Dialogs,,,自由任务承接【难度：★1】
dialog_trader_response_jobshave_statement_2,Quest,Dialogs,,,自由任务承接【难度：★2】
dialog_trader_response_jobshave_statement_3,Quest,Dialogs,,,自由任务承接【难度：★3】
dialog_trader_response_jobshave_statement_4,Quest,Dialogs,,,自由任务承接【难度：★4】
dialog_trader_response_jobshave_statement_5,Quest,Dialogs,,,自由任务承接【难度：★5】
dialog_trader_response_jobshave_statement_6,Quest,Dialogs,,,自由任务承接【难度：★6】
dialog_trader_response_jobshave_statement_7,Quest,Dialogs,,,自由任务承接【难度：★7】
dialog_trader_response_jobshave_statement_8,Quest,Dialogs,,,自由任务承接【难度：★8】
dialog_trader_response_jobshave_statement_9,Quest,Dialogs,,,自由任务承接【难度：★9】
dialog_trader_response_jobshave_statement_10,Quest,Dialogs,,,自由任务承接【难度：★10】
dialog_trader_response_jobshave_statement_11,Quest,Dialogs,,,自由任务承接【难度：★11】
dialog_trader_response_jobshave_statement_12,Quest,Dialogs,,,自由任务承接【难度：★12】
dialog_trader_response_jobshave_statement_13,Quest,Dialogs,,,自由任务承接【难度：★13】
dialog_trader_response_jobshave_statement_14,Quest,Dialogs,,,自由任务承接【难度：★14】
dialog_trader_response_jobshave_statement_15,Quest,Dialogs,,,自由任务承接【难度：★15】
dialog_trader_response_jobshave_statement_16,Quest,Dialogs,,,自由任务承接【难度：★16】
dialog_trader_response_jobshave_statement_17,Quest,Dialogs,,,自由任务承接【难度：★17】
dialog_trader_response_jobshave_statement_18,Quest,Dialogs,,,自由任务承接【难度：★18】
dialog_trader_response_emergencyjobshave,Quest,Dialogs,,,[FF0000]紧急任务[-]出现！
